Source	Interaction	Target
Usf1	->	Mdm2
Usf1	->	Nfkbiz
Usf1	->	Pitpnm2
Usf1	->	Spry1
Usf1	->	Dhrs3
Usf1	->	Hnrnph2
Usf1	->	Snx32
Usf1	->	Cdc42
Usf1	->	Ptprj
Kdm4a	->	Cdc42
Kdm4a	->	Nlk
Kdm4a	->	Acadvl
Kdm4a	->	Fiz1
Kdm4a	->	Maoa
Kdm4a	->	Pabpn1
Junb	->	Ankrd54
Junb	->	Bbs5
Junb	->	Bfsp1
Junb	->	Chn2
Junb	->	Ctsd
Junb	->	Cxcl10
Junb	->	Dock2
Junb	->	Garnl3
Junb	->	Gucy2g
Junb	->	Junb
Junb	->	Klf6
Junb	->	Lpin3
Junb	->	Lrtm1
Junb	->	Nfkbia
Junb	->	Tmem30b
Junb	->	Tpm4
Junb	->	Zbtb32
Junb	->	Actg1
Junb	->	Cd44
Junb	->	Csk
Junb	->	Gpr183
Junb	->	Ifng
Junb	->	Junb
Junb	->	Vasp
Junb	->	Zbtb32
Junb	->	Fam65c
Junb	->	Junb
Junb	->	Klf6
Junb	->	Rnaset2a
Junb	->	Rpl23a
Junb	->	Zfp367
Junb	->	Arhgap20
Junb	->	Bhlhe40
Junb	->	Dusp14
Junb	->	Gadd45b
Junb	->	Junb
Junb	->	Myc
Junb	->	Osm
Junb	->	Pim1
Junb	->	St6gal1
Junb	->	1810037I17Rik
Junb	->	Ap4s1
Junb	->	Cd69
Junb	->	Donson
Junb	->	Furin
Junb	->	Gadd45g
Junb	->	Got2
Junb	->	Hnrnpc
Junb	->	Id1
Junb	->	Ifng
Junb	->	Junb
Junb	->	Kcnn4
Junb	->	Mcl1
Junb	->	Pde5a
Junb	->	Plp2
Junb	->	Rrad
Junb	->	Tagln2
Junb	->	Twf2
Junb	->	Ywhah
Ubp1	->	Dlgap4
Ubp1	->	Lrrk2
Ubp1	->	Tgfbr2
Ubp1	->	Trim44
Ubp1	->	Gnai2
Ubp1	->	Rad54l
Ubp1	->	Sorbs3
Vdr	->	1700028J19Rik
Vdr	->	4930452B06Rik
Vdr	->	Cry2
Vdr	->	D15Ertd621e
Vdr	->	Dyrk2
Vdr	->	Erp27
Vdr	->	Fam45a
Vdr	->	Lgals3
Vdr	->	Rbm4
Vdr	->	Vdr
Vdr	->	Wdr35
Vdr	->	Angptl6
Vdr	->	Egfl7
Vdr	->	Errfi1
Vdr	->	Fam129b
Vdr	->	Ndrg1
Vdr	->	Padi1
Vdr	->	Papd7
Vdr	->	Pdp1
Vdr	->	Tmem107
Vdr	->	Vdr
Vdr	->	Cpxm1
Vdr	->	Socs2
Vdr	->	Bcl2l2
Vdr	->	Cnn3
Vdr	->	Cntln
Vdr	->	Gls2
Vdr	->	Hemgn
Vdr	->	Ndst1
Vdr	->	Pter
Vdr	->	Vdr
Zfp560	->	Anxa11
Zfp560	->	Cacng7
Zfp560	->	Cbx1
Zfp560	->	Lgals3
Zfp560	->	Zfp526
Nr1h2	->	Coro1a
Nr1h2	->	Ier2
Nr1h2	->	Kcnab2
Nr1h2	->	Rpl19
Nr1h2	->	Zbtb32
Nr1h2	->	Cdc42ep3
Nr1h2	->	Fam161a
Nr1h2	->	Jarid2
Nr1h2	->	Rasgef1b
Lef1	->	Atp10a
Lef1	->	B3gat2
Lef1	->	Bzw2
Lef1	->	Cenpk
Lef1	->	Chml
Lef1	->	Cln6
Lef1	->	Epc1
Lef1	->	Esm1
Lef1	->	H2-Q2
Lef1	->	Hmgn2
Lef1	->	Il2
Lef1	->	Kcnh6
Lef1	->	Leap2
Lef1	->	Lef1
Lef1	->	Mtss1
Lef1	->	Ncapd2
Lef1	->	Nebl
Lef1	->	Nipal3
Lef1	->	Pde2a
Lef1	->	Stk4
Lef1	->	Tagln2
Lef1	->	Vim
Lef1	->	Vrk1
Lef1	->	Cbx4
Lef1	->	Cnih4
Lef1	->	Flii
Lef1	->	Irak3
Lef1	->	Marcks
Lef1	->	Mkrn1
Lef1	->	Myb
Lef1	->	Add3
Lef1	->	Anxa2
Lef1	->	Azi2
Lef1	->	H2afv
Lef1	->	Lef1
Lef1	->	Lgr5
Lef1	->	Rapgef4
Lef1	->	Rasa3
Lef1	->	Tcf7
Lef1	->	Tmsb4x
Lef1	->	Vim
Lef1	->	Zfand6
