Source	Interaction	Target
Bcl3	->	9930021J03Rik
Bcl3	->	Abhd2
Bcl3	->	BC030867
Bcl3	->	Bcl3
Bcl3	->	Myo1e
Bcl3	->	Bcl3
Bcl3	->	Fam117a
Bcl3	->	Pabpn1
Bcl3	->	Arf6
Bcl3	->	Bcl3
Bcl3	->	Cebpa
Bcl3	->	Flot1
Bcl3	->	Gadd45g
Bcl3	->	Il1r2
Bcl3	->	Pard3b
Bcl3	->	Satb1
Bcl3	->	Slc6a1
Bcl3	->	Alpk2
Bcl3	->	Bcl3
Bcl3	->	Carf
Bcl3	->	Fbxw10
Bcl3	->	Olig3
Bcl3	->	Slc1a4
Bcl3	->	Specc1
Bcl3	->	Usp27x
Bcl3	->	Bcl3
Bcl3	->	Relb
Hivep2	->	Cyld
Hivep2	->	Hivep2
Hivep2	->	Alcam
Hivep2	->	Chd4
Hivep2	->	Ets1
Hivep2	->	Hivep2
Hivep2	->	Lmna
Hivep2	->	Man1a
Ikzf1	->	Ap4e1
Ikzf1	->	Dock2
Ikzf1	->	Ikzf1
Ikzf1	->	Ipcef1
Ikzf1	->	Myh9
Ikzf1	->	Peli1
Ikzf1	->	Ptms
Ikzf1	->	Ptpn22
Ikzf1	->	Rassf2
Ikzf1	->	Sla
Ikzf1	->	Ski
Ikzf1	->	Sla
Ikzf1	->	Spred1
Ikzf1	->	Agpat3
Ikzf1	->	Amigo1
Ikzf1	->	Armc6
Ikzf1	->	Armcx2
Ikzf1	->	Bad
Ikzf1	->	D930015E06Rik
Ikzf1	->	Dicer1
Ikzf1	->	Dock2
Ikzf1	->	Exoc5
Ikzf1	->	Ikzf1
Ikzf1	->	Leo1
Ikzf1	->	Mest
Ikzf1	->	Oat
Ikzf1	->	Pacsin3
Ikzf1	->	Pex26
Ikzf1	->	Samm50
Ikzf1	->	Trpv2
Ikzf1	->	Ube4b
Ikzf1	->	Usp45
Rbbp5	->	Gsto2
Rbbp5	->	Poll
Rbbp5	->	Rhbdf1
Rbbp5	->	Rttn
Rbbp5	->	Scrt1
Rbbp5	->	Srp19
Rbbp5	->	Trmt12
Rbbp5	->	Ugcg
Rbbp5	->	Evc2
Rbbp5	->	Jarid2
Rbbp5	->	Sec16a
Rbbp5	->	Slc35c2
Rbbp5	->	Src
Rbbp5	->	Zfp740
Rbbp5	->	Hnrnpu
Rbbp5	->	Phactr2
Rbbp5	->	Tef
Rbbp5	->	Vgll4
Deaf1	->	Cdk14
Deaf1	->	Col12a1
Deaf1	->	Cyb5r4
Deaf1	->	Deaf1
Deaf1	->	Pcm1
Deaf1	->	Ube3a
Deaf1	->	Asrgl1
Deaf1	->	Bdkrb2
Deaf1	->	Deaf1
Deaf1	->	Dennd3
Deaf1	->	Haus1
Deaf1	->	Scamp1
Deaf1	->	Deaf1
Deaf1	->	Hs3st1
Deaf1	->	Rimkla
Deaf1	->	Slc5a2
Deaf1	->	Sox10
Deaf1	->	Deaf1
Deaf1	->	Gm8580
Deaf1	->	Rab3gap2
Deaf1	->	Slc7a1
Deaf1	->	Ssbp3
Deaf1	->	Tle2
Smad1	->	Anks1b
Smad1	->	Dcaf5
Smad1	->	Dip2b
Smad1	->	Galc
Smad1	->	Pspc1
Smad1	->	Scaf11
Smad1	->	Ssbp2
Smad1	->	Styx
Smad1	->	Ticam1
Smad1	->	Vegfa
Smad1	->	Wwp1
Smad1	->	Zfp770
Smad1	->	Lsm14a
Smad1	->	Maged2
Smad1	->	Pabpc1
Smad1	->	Ccnl2
Smad1	->	Fbxo33
Smad1	->	Krt1
Smad1	->	Lrp6
Smad1	->	N4bp1
Zfp64	->	B3gnt5
Zfp64	->	BC049715
Zfp64	->	Crk
